Campus,Code,Name,Credits,Areas of Knowledge,Prerequisites
Bothell,B ACCT 501,Accounting Theory,4,,
Bothell,B ACCT 502,Seminar on Financial Accounting,4,,
Bothell,B ACCT 503,Corporate Financial Reporting,4,,
Bothell,B ACCT 504,Advanced Managerial Accounting,4,,
Bothell,B ACCT 505,Financial Statement Analysis,4,,"B ACCT 501,B ACCT 503"
Bothell,B ACCT 506,Seminar on Strategic Cost Management,4,,B ACCT 504
Bothell,B ACCT 510,Accounting Profession,,,
Bothell,B ACCT 512,Advanced Business Law,4,,
Bothell,B ACCT 520,Accounting Valuation,4,,
Bothell,B ACCT 563,Advanced Financial Accounting,4,,
Bothell,B ACCT 567,Advanced Taxation,4,,
Bothell,B ARAB 296,Study Abroad: Arabic,,VLPA,
Bothell,B BIO 130,Introduction to Marine Life,5,NW,
Bothell,B BIO 180,Introductory Biology I,5,NW,"B BIO 180,B BIO 200,B BIO 220,B CHEM 142,B CHEM 143"
Bothell,B BIO 200,Introductory Biology II,5,NW,"B BIO 180,B BIO 200,B BIO 220,B CHEM 152,B CHEM 153"
Bothell,B BIO 220,Introductory Biology III,5,NW,"B BIO 180,B BIO 200,B BIO 220"
Bothell,B BIO 225,Scientific Writing,5,,"B CHEM 225,B WRIT 134"
Bothell,B BIO 230,Study Abroad: Biology,,NW,
Bothell,B BIO 231,"Genes, Genomes and Heredity",5,"I&S,NW",
Bothell,B BIO 232,"Embryos, Genes and Reproductive Technology",5,"I&S,NW",
Bothell,B BIO 233,"Cancer: Biology, Risk, and Treatment",5,NW,
Bothell,B BIO 235,Salmon and Society,5,"I&S,NW",B BIO 180
Bothell,B BIO 240,Fundamentals of Cellular Biology for Nursing and Allied Health,5,NW,"B CHEM 115,B CHEM 143,B CHEM 144"
Bothell,B BIO 241,Human Anatomy and Physiology I for Nursing and Allied Health,6,NW,"B BIO 220,B BIO 240"
Bothell,B BIO 242,Human Anatomy and Physiology II for Nursing and Allied Health,6,NW,B BIO 241
Bothell,B BIO 260,Medical Microbiology,6,,"B BIO 200,B BIO 240,B CHEM 115,B CHEM 143,B CHEM 144"
Bothell,B BIO 285,Seminar in Biology,3,"I&S,NW",
Bothell,B BIO 293,Special Topics in Biology,,,
Bothell,B BIO 305,The Science and Ethics of Stem Cells,5,"I&S,NW",
Bothell,B BIO 310,Brain and Behavior,5,NW,
Bothell,B BIO 330,Marine Biology,5,NW,"B BIO 180,B BIO 200,B BIO 220"
Bothell,B BIO 351,Principles of Anatomy and Physiology I,5,NW,B BIO 220
Bothell,B BIO 352,Principles of Anatomy and Physiology II,5,NW,"B BIO 220,B BIO 351"
Bothell,B BIO 355,Behavioral Endocrinology,5,NW,B BIO 200
Bothell,B BIO 360,Introduction to Genetics,5,NW,B BIO 200
Bothell,B BIO 364,Biochemistry I,5,NW,"B BIO 200,B CHEM 237,B CHEM 239,B CHEM 364"
Bothell,B BIO 365,Biochemistry II,5,,"B BIO 364,B CHEM 364,B CHEM 365"
Bothell,B BIO 366,Biochemistry Laboratory,3,NW,"B BIO 364,B CHEM 364,B CHEM 366"
Bothell,B BIO 370,Microbiology,5,NW,"B BIO 200,B CHEM 162,B CHEM 163"
Bothell,B BIO 372,Stem Cells,5,,
Bothell,B BIO 375,Molecular Biology,5,,"B BIO 220,B BIO 360,B BIO 364,B CHEM 364,B CHEM 375,BIOC 405,GENOME 361"
Bothell,B BIO 380,Cell Biology,5,NW,B BIO 200
Bothell,B BIO 383,Bioinformatics,5,NW,
Bothell,B BIO 385,Animal Behavior,5,NW,B BIO 220
Bothell,B BIO 393,Special Topics in Biology,,,
Bothell,B BIO 394,Special Topics in Neuroscience,5,NW,B BIO 351
Bothell,B BIO 430,Study Abroad: Advanced Biology,,NW,
Bothell,B BIO 460,Developmental Biology,5,NW,B BIO 360
Bothell,B BIO 466,Evolution,5,"NW,QSR",B BIO 180
Bothell,B BIO 470,Microbiology II: Microbial Interactions,5,,B BIO 370
Bothell,B BIO 471,Plant Ecology,5,NW,B BIO 180
Bothell,B BIO 480,Neurobiology,5,NW,"B BIO 310,B BIO 351"
Bothell,B BIO 485,Advanced Seminar in Biology,,,B BIO 220
Bothell,B BIO 495,Investigative Biology,5,"NW,QSR","B BIO 220,B HLTH 215,B MATH 215,STMATH 341"
Bothell,B BIO 498,Independent Study in Biology,,,B BIO 220
Bothell,B BIO 499,Undergraduate Research in Biology,,,B BIO 220
Bothell,B BSKL 200,Preparing for the Business World,5,,
Bothell,B BSKL 300,Business Team Skills,1,,
Bothell,B BSKL 305,Business Research Skills,1,,
Bothell,B BUS 110,Personal Finance,5,QSR,
Bothell,B BUS 201,Introduction to Business,5,,
Bothell,B BUS 210,Principles of Financial Accounting,5,,
Bothell,B BUS 211,Principles of Managerial Accounting,5,,B BUS 210
Bothell,B BUS 215,Introduction to Business Statistics,5,QSR,
Bothell,B BUS 220,Introduction to Microeconomics,5,"I&S,QSR",
Bothell,B BUS 221,Introduction to Macroeconomics,5,"I&S,QSR","B BUS 220,B CUSP 200,BIS 200,BIS 201"
Bothell,B BUS 230,Introduction to Business Law,5,I&S,
Bothell,B BUS 300,Management of Organizations,4,,
Bothell,B BUS 305,Managerial Communication,4,,
Bothell,B BUS 307,Business Writing,5,,
Bothell,B BUS 310,Managerial Economics,5,,
Bothell,B BUS 320,Marketing Management,5,,
Bothell,B BUS 330,Information Management and Analysis,5,,
Bothell,B BUS 340,Operations and Project Management,5,,B BUS 310
Bothell,B BUS 350,Business Finance,5,,B BUS 310
Bothell,B BUS 361,Intermediate Accounting I,5,,
Bothell,B BUS 362,Intermediate Accounting II,5,,B BUS 361
Bothell,B BUS 363,Intermediate Accounting III,5,,B BUS 362
Bothell,B BUS 373,Cost Accounting,5,,
Bothell,B BUS 401,Work Motivation and Performance,5,,
Bothell,B BUS 402,Managing Work Teams,5,,
Bothell,B BUS 411,Auditing Theory and Practice,5,,B BUS 362
Bothell,B BUS 412,Advanced Business Law,5,,
Bothell,B BUS 421,Consumer Marketing,5,,B BUS 320
Bothell,B BUS 423,Market Intelligence,5,,B BUS 320
Bothell,B BUS 426,International Marketing,,,B BUS 320
Bothell,B BUS 427,Entrepreneurial Marketing,5,,B BUS 320
Bothell,B BUS 429,Special Topics in Marketing,5,,B BUS 320
Bothell,B BUS 431,Electronic Marketing,5,,B BUS 320
Bothell,B BUS 435,Accounting Information Systems,5,,B BUS 361
Bothell,B BUS 438,Marketing Management Laboratory,5,,"B BUS 320,B BUS 421,B BUS 423,B BUS 424,B BUS 425,B BUS 426,B BUS 427,B BUS 429,B BUS 431"
Bothell,B BUS 441,Business Project Management,5,,B BUS 340
Bothell,B BUS 443,Entrepreneurship Seminar,5,,
Bothell,B BUS 444,Product Development Lab,5,,
Bothell,B BUS 445,Merchandise Acquisition,5,,B BUS 300
Bothell,B BUS 446,Strategic Retail Promotion,5,,"B BUS 300,B BUS 320"
Bothell,B BUS 447,Retail Operations and Supply Chain Management,5,,B BUS 300
Bothell,B BUS 448,Retail Technology and Leadership,5,,"B BUS 300,B BUS 445,B BUS 446,B BUS 447"
Bothell,B BUS 449,Accounting Practices in Not-For-Profit Organizations,5,,B BUS 363
Bothell,B BUS 450,Federal Income Taxation,5,,B BUS 361
Bothell,B BUS 451,Financial Policy and Practice,5,,B BUS 350
Bothell,B BUS 453,Financial Institutions and Markets,5,,B BUS 350
Bothell,B BUS 454,Investments,5,,B BUS 350
Bothell,B BUS 455,Financial Risk Management,5,,B BUS 454
Bothell,B BUS 456,Entrepreneurial Finance,5,,B BUS 350
Bothell,B BUS 457,Advanced Valuation,5,,B BUS 454
Bothell,B BUS 459,Special Topic in Finance,5,,B BUS 350
Bothell,B BUS 460,Sustainable Business,5,,
Bothell,B BUS 461,"Business, Government, and Society",5,,"B BSKL 300,B BUS 300,B BUS 310"
Bothell,B BUS 462,Negotiations and Conflict Management,5,,"B BSKL 300,B BUS 300,B BUS 320"
Bothell,B BUS 463,Advanced Financial Accounting,5,,B BUS 362
Bothell,B BUS 464,New Product Marketing,5,,B BUS 320
Bothell,B BUS 465,Applied Financial Accounting,5,,B BUS 350
Bothell,B BUS 466,Applied Managerial Accounting,5,,B BUS 350
Bothell,B BUS 467,Advanced Taxation,5,,B BUS 450
Bothell,B BUS 470,Business Policy and Strategic Management,5,,"B BSKL 300,B BUS 300,B BUS 307,B BUS 320,B BUS 340,B BUS 350"
Bothell,B BUS 471,Entrepreneurial Management,5,,
Bothell,B BUS 472,Managing Employees,5,,"B BSKL 300,B BUS 300"
Bothell,B BUS 473,Leadership and Decision Making,5,,"B BSKL 300,B BUS 300"
Bothell,B BUS 475,Managing Innovation,5,,
Bothell,B BUS 476,New Technology and Future Markets,5,,"B BSKL 300,B BUS 300,B BUS 320,B BUS 350"
Bothell,B BUS 477,Human Resource Management,5,,"B BSKL 300,B BUS 300"
Bothell,B BUS 479,Special Topics in Management,5,,"B BSKL 300,B BUS 300"
Bothell,B BUS 480,Global Environment of Business,5,,"B BSKL 300,B BUS 300,B BUS 307,B BUS 320,B BUS 340,B BUS 350"
Bothell,B BUS 489,Digital Business Lab,5,,"B BSKL 300,B BUS 330,CSS 341,CSS 360"
Bothell,B BUS 490,Special Topics in Business,5,,"B BSKL 300,B BUS 300,B BUS 310"
Bothell,B BUS 491,Business Consulting,5,,
Bothell,B BUS 497,Guided Internship,,,
Bothell,B BUS 498,Directed Readings,,,
Bothell,B BUS 499,Undergraduate Research,,,
Bothell,B BUS 500,Quantitative Business Methods,2,,
Bothell,B BUS 501,"Leadership, Team Process and Decision Making: A Workshop",4,,
Bothell,B BUS 502,Statistics for Business,4,,
Bothell,B BUS 503,Financial Reporting and Analysis,4,,
Bothell,B BUS 504,Microeconomics for Business,4,,
Bothell,B BUS 505,Financial Management,4,,"B BUS 503,B BUS 504"
Bothell,B BUS 506,Marketing Management,4,,B BUS 504
Bothell,B BUS 507,Global Business,4,,"B BUS 504,B BUS 505,B BUS 506"
Bothell,B BUS 508,Business Law and Ethics,4,,
Bothell,B BUS 509,Operations Management,4,,"B BUS 505,B BUS 506"
Bothell,B BUS 510,Managing Organizational Effectiveness,4,,
Bothell,B BUS 512,Strategic Management,4,,
Bothell,B BUS 514,Business Communications for Leaders,4,,
Bothell,B BUS 521,Enterprise IT Management,4,,
